day,region,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,subindex_pm10,subindex_no2,subindex_o3,subindex_so2,indice_atmo
2023-01-01,Auvergne-Rhône-Alpes,14.954166,3.4750001,65.125,0.83750004,3,1,3,1,3
2023-01-01,Bourgogne-Franche-Comté,13.3,3.7958333,65.25,0.7416666,3,1,3,1,3
2023-01-01,Bretagne,9.845834,3.3958333,72.0,0.27083334,2,1,3,1,3
2023-01-01,Centre-Val de Loire,13.75,2.8374999,60.25,0.7708333,3,1,3,1,3
2023-01-01,Corse,8.979167,2.2083333,58.0,0.34166667,2,1,3,1,3
2023-01-01,Grand Est,11.337501,2.8291667,59.625,0.65000004,2,1,3,1,3
2023-01-01,Guadeloupe,18.85,1.5729166,65.5,0.19583334,3,1,3,1,3
2023-01-01,Guyane,3.6375,0.05,43.333333333333336,0.06875,1,1,2,1,2
2023-01-01,Hauts-de-France,11.254167,3.9624999,60.375,0.6,2,1,3,1,3
2023-01-01,La Réunion,8.458333,0.7083333,45.375,0.35,2,1,2,1,2
2023-01-01,Martinique,23.670832,2.4020834,72.125,0.8729167,4,1,3,1,4
2023-01-01,Mayotte,14.354167,0.0,25.5,0.16875,3,1,1,1,3
2023-01-01,Normandie,10.275,2.9624999,71.0,0.3375,2,1,3,1,3
2023-01-01,Nouvelle-Aquitaine,14.724999,3.5333335,60.625,0.8333333,3,1,3,1,3
2023-01-01,Occitanie,14.820834,3.1291666,65.25,0.6625,3,1,3,1,3
2023-01-01,Pays de la Loire,12.833333,2.7041667,66.85714285714286,0.37083337,2,1,3,1,3
2023-01-01,Provence-Alpes-Côte d'Azur,10.537499,2.3166666,60.625,0.32083336,2,1,3,1,3
2023-01-01,Île-de-France,15.383334,7.616667,55.0,1.375,3,1,3,1,3
2023-01-02,Auvergne-Rhône-Alpes,14.316667,5.9041667,71.0,0.93333334,3,1,3,1,3
2023-01-02,Bourgogne-Franche-Comté,13.208333,6.2000003,70.0,0.58750004,3,1,3,1,3
2023-01-02,Bretagne,7.625,6.7333336,63.625,0.4375,2,1,3,1,3
2023-01-02,Centre-Val de Loire,7.7208333,3.5,72.125,0.32500002,2,1,3,1,3
2023-01-02,Corse,9.6875,3.175,53.5,0.5208333,2,1,2,1,2
2023-01-02,Grand Est,11.670834,3.3083334,63.75,0.59999996,2,1,3,1,3
2023-01-02,Guadeloupe,21.25,1.56875,61.5,0.22500001,4,1,3,1,4
2023-01-02,Guyane,4.1833334,0.077083334,40.0,0.09166667,1,1,2,1,2
2023-01-02,Hauts-de-France,7.6041665,7.5750003,57.625,0.6375,2,1,3,1,3
2023-01-02,La Réunion,9.587501,0.7166667,47.0,0.34583333,2,1,2,1,2
2023-01-02,Martinique,27.0625,2.8541667,63.0,0.96875,5,1,3,1,5
2023-01-02,Mayotte,11.5,0.008333334,24.0,0.1375,2,1,1,1,2
2023-01-02,Normandie,7.0166664,7.7875,67.125,0.32083336,2,1,3,1,3
2023-01-02,Nouvelle-Aquitaine,11.037499,5.525,63.375,0.6041667,2,1,3,1,3
2023-01-02,Occitanie,13.420834,4.8375,75.0,0.8875,3,1,3,1,3
2023-01-02,Pays de la Loire,7.2125,5.2541666,64.875,0.52916664,2,1,3,1,3
2023-01-02,Provence-Alpes-Côte d'Azur,15.462501,4.5750003,53.875,0.625,3,1,2,1,3
2023-01-02,Île-de-France,9.3125,16.291666,57.625,1.3375,2,1,3,1,3
2023-01-03,Auvergne-Rhône-Alpes,8.666667,11.420834,53.75,0.7291667,2,1,2,1,2
2023-01-03,Bourgogne-Franche-Comté,8.045834,5.5833335,53.125,0.2541667,2,1,2,1,2
2023-01-03,Bretagne,8.945833,3.9125001,71.625,0.42499998,2,1,3,1,3
2023-01-03,Centre-Val de Loire,7.7083335,3.8708334,59.875,0.28333333,2,1,3,1,3
2023-01-03,Corse,10.645833,3.8208332,59.75,0.40833333,2,1,3,1,3
2023-01-03,Grand Est,7.5458336,3.7708333,57.0,0.28333333,2,1,3,1,3
2023-01-03,Guadeloupe,22.85,1.7229166,65.5,0.24583334,4,1,3,1,4
2023-01-03,Guyane,5.3958335,0.06041667,39.2,0.058333334,1,1,2,1,2
2023-01-03,Hauts-de-France,11.066667,6.991667,55.125,0.60833335,2,1,3,1,3
2023-01-03,La Réunion,9.583333,0.44583333,51.625,0.64375,2,1,2,1,2
2023-01-03,Martinique,27.275,2.2916667,66.25,0.79583335,5,1,3,1,5
2023-01-03,Mayotte,8.087501,0.010416667,24.333333333333332,0.06666667,2,1,1,1,2
2023-01-03,Normandie,7.7833333,5.879167,68.0,0.5,2,1,3,1,3
2023-01-03,Nouvelle-Aquitaine,12.970833,7.125,44.625,0.5083333,2,1,2,1,2
2023-01-03,Occitanie,9.666667,6.7666664,53.25,0.4375,2,1,2,1,2
2023-01-03,Pays de la Loire,9.466666,5.945833,69.625,0.6875,2,1,3,1,3
2023-01-03,Provence-Alpes-Côte d'Azur,16.608334,5.6416664,40.0,0.5,3,1,2,1,3
2023-01-03,Île-de-France,11.849999,13.2,54.125,1.1416667,2,1,3,1,3
2023-01-04,Auvergne-Rhône-Alpes,15.504167,17.929167,37.875,1.0749999,3,1,2,1,3
2023-01-04,Bourgogne-Franche-Comté,7.0791664,4.875,57.0,0.33333334,2,1,3,1,3
2023-01-04,Bretagne,6.8250003,3.8875,73.4,0.26666668,2,1,3,1,3
2023-01-04,Centre-Val de Loire,5.4666667,2.7291667,62.0,0.44583333,1,1,3,1,3
2023-01-04,Corse,9.974999,3.1333332,57.375,0.36666667,2,1,3,1,3
2023-01-04,Grand Est,5.5875,2.4833333,60.75,0.275,1,1,3,1,3
2023-01-04,Guadeloupe,20.154167,1.5041666,63.625,0.18958335,4,1,3,1,4
2023-01-04,Guyane,2.5791667,0.052083332,40.75,0.047916666,1,1,2,1,2
2023-01-04,Hauts-de-France,5.775,3.8458335,64.0,0.42916667,1,1,3,1,3
2023-01-04,La Réunion,11.691667,0.25833336,26.0,0.26458332,2,1,1,1,2
2023-01-04,Martinique,20.8125,2.51875,63.625,0.7833333,4,1,3,1,4
2023-01-04,Mayotte,9.445833,0.025,27.375,0.079166666,2,1,1,1,2
2023-01-04,Normandie,4.6833334,3.5333335,70.375,0.22916667,1,1,3,1,3
2023-01-04,Nouvelle-Aquitaine,10.2,6.3875003,41.285714285714285,0.7083333,2,1,2,1,2
